ID,Topic Label,Parent Topic,Topic community it belongs to,Born year
83,Negative Regulator,viral replication,#9 Virus Diseases,2019
84,gene drives,Saccharomyces cerevisiae,#8 High Throughput Genetic Screens,2019
85,plant growth,transcriptome analysis,#7 Neurodegenerative Diseases,2019
86,CRISPR Cas12a system,nucleic acids,#1 Cas Nuclease,2019
87,flow cytometry,genetic screens,#8 High Throughput Genetic Screens,2019
88,alternative splicing,homologous recombination,#1 Cas Nuclease,2019
89,Alzheimer disease,transcriptome analysis,#7 Neurodegenerative Diseases,2019
90,tumor models,mouse models,#2 Cas9,2019
91,RNA phages,cell death,#1 Cas Nuclease,2019
92,amino acids,ectopic expression,#4 Gene Expression,2019
93,CD8 T cells,colorectal tumors,#1 Cas Nuclease,2020
94,metabolic engineering,synthetic biology,#3 Gene Therapy,2020
95,recombinant proteins,cell metabolism,#4 Gene Expression,2020
96,drug resistance,tumor cells,#6 Cell to Cell Transmission,2020
97,polymerase chain reaction,CRISPR Cas12a system,#1 Cas Nuclease,2020
98,T cells,genetic variation,#1 Cas Nuclease,2020
99,antibiotic resistance,gene transfer,#1 Cas Nuclease,2020
100,phylogenetic analysis,Chinese hamster ovary cells,#1 Cas Nuclease,2020
101,protein expression,Negative Regulator,#9 Virus Diseases,2020
102,host cells,Negative Regulator,#9 Virus Diseases,2020
103,gene disruption,duchenne Muscular dystrophy,#3 Gene Therapy,2020
104,single guide RNA,Cas9,#2 Cas9,2020
105,nonhomologous end joining,homology directed repair,#5 Guide RNA,2020
106,amyotrophic lateral sclerosis,Alzheimer disease,#7 Neurodegenerative Diseases,2020
107,Caenorhabditis elegans,pluripotent stem cells,#5 Guide RNA,2020
108,offtarget effects,intravitreal injection,#2 Cas9,2020
109,DNA damage,embryo development,#5 Guide RNA,2020
110,functional characterization,acquired immunity,#1 Cas Nuclease,2020
111,molecular biology,Saccharomyces cerevisiae,#8 High Throughput Genetic Screens,2020
112,skeletal muscle,central nervous system,#4 Gene Expression,2020
113,eukaryotic cells,alternative splicing,#1 Cas Nuclease,2020
114,neurodegenerative diseases,Alzheimer disease,#7 Neurodegenerative Diseases,2020
115,antimicrobial resistance,gene transfer,#1 Cas Nuclease,2020
116,insulin resistance,Type 2 diabetes,#1 Cas Nuclease,2020
117,multiple myeloma,flow cytometry,#8 High Throughput Genetic Screens,2020
118,viral genome,foreign DNA,#4 Gene Expression,2020
119,cystathionine beta synthase,gene expression,#4 Gene Expression,2020
